Calgary,Alberta,3,3,Nov,2016,21h37
Cold Lake,Alberta,1,3,Nov,2016,21h37
Drayton Valley,Alberta,2,3,Nov,2016,21h37
Edmonton,Alberta,3,3,Nov,2016,21h37
Fort Chipewyan,Alberta,1,3,Nov,2016,21h37
Fort McKay,Alberta,1,3,Nov,2016,21h37
Fort McMurray,Alberta,2,3,Nov,2016,21h37
Fort Saskatchewan,Alberta,2,3,Nov,2016,21h37
Grande Prairie,Alberta,3,3,Nov,2016,21h37
Lethbridge,Alberta,2,3,Nov,2016,21h37
Medicine Hat,Alberta,3,3,Nov,2016,21h37
Red Deer,Alberta,2,3,Nov,2016,21h37
Spruce Grove,Alberta,2,3,Nov,2016,21h37
Bas-Fraser - centre,Colombie-Britannique,2,3,Nov,2016,21h37
Bas-Fraser - est,Colombie-Britannique,1,3,Nov,2016,21h37
Castlegar,Colombie-Britannique,1,3,Nov,2016,21h37
Comox,Colombie-Britannique,2,3,Nov,2016,21h37
Courtenay,Colombie-Britannique,2,3,Nov,2016,21h37
Duncan,Colombie-Britannique,2,3,Nov,2016,21h37
Fort St. John,Colombie-Britannique,2,3,Nov,2016,21h37
Kamloops,Colombie-Britannique,2,3,Nov,2016,21h37
Nanaimo/Parksville,Colombie-Britannique,3,3,Nov,2016,21h37
Okanagan - centre,Colombie-Britannique,2,3,Nov,2016,21h37
Okanagan - nord,Colombie-Britannique,2,3,Nov,2016,21h37
Okanagan - sud,Colombie-Britannique,2,3,Nov,2016,21h37
Prince George,Colombie-Britannique,4,3,Nov,2016,21h37
Quesnel,Colombie-Britannique,2,3,Nov,2016,21h37
Squamish,Colombie-Britannique,2,3,Nov,2016,21h37
Terrace,Colombie-Britannique,2,3,Nov,2016,21h37
Vancouver-mÃ©tro - nord-est,Colombie-Britannique,2,3,Nov,2016,21h37
Vancouver-mÃ©tro - nord-ouest,Colombie-Britannique,2,3,Nov,2016,21h37
Vancouver-mÃ©tro - sud-est,Colombie-Britannique,2,3,Nov,2016,21h37
Vancouver-mÃ©tro - sud-ouest,Colombie-Britannique,2,3,Nov,2016,21h37
Victoria/Saanich,Colombie-Britannique,2,3,Nov,2016,21h37
WestShore,Colombie-Britannique,2,3,Nov,2016,21h37
Whistler,Colombie-Britannique,2,3,Nov,2016,21h37
Williams Lake,Colombie-Britannique,2,3,Nov,2016,21h37
Brandon,Manitoba,1,3,Nov,2016,21h37
Winnipeg,Manitoba,1,3,Nov,2016,21h37
Bathurst,Nouveau-Brunswick,1,3,Nov,2016,21h37
Campbellton,Nouveau-Brunswick,1,3,Nov,2016,21h37
Edmundston,Nouveau-Brunswick,1,3,Nov,2016,21h37
Fredericton,Nouveau-Brunswick,1,3,Nov,2016,21h37
Miramichi,Nouveau-Brunswick,1,3,Nov,2016,21h37
Moncton,Nouveau-Brunswick,1,3,Nov,2016,21h37
Saint John,Nouveau-Brunswick,1,3,Nov,2016,21h37
Burin,Terre-Neuve-et-Labrador,1,3,Nov,2016,21h37
Corner Brook,Terre-Neuve-et-Labrador,2,3,Nov,2016,21h37
Grand Falls-Windsor,Terre-Neuve-et-Labrador,2,3,Nov,2016,21h37
Labrador City,Terre-Neuve-et-Labrador,2,3,Nov,2016,21h37
St. John's,Terre-Neuve-et-Labrador,2,3,Nov,2016,21h37
Greenwood,Nouvelle-Ãcosse,1,3,Nov,2016,21h37
Halifax,Nouvelle-Ãcosse,1,3,Nov,2016,21h37
Kentville,Nouvelle-Ãcosse,1,3,Nov,2016,21h37
Pictou,Nouvelle-Ãcosse,1,3,Nov,2016,21h37
Port Hawkesbury,Nouvelle-Ãcosse,2,3,Nov,2016,21h37
